State,Avg Car Price

al,32977.32

ak,37983.38

az,31145.52

ar,35630.52

ca,35605.64

co,37875.04

ct,35611.12

dc,74080.0

de,32026.36

fl,30307.2

ga,32477.0

hi,32566.42

id,41166.9

il,30331.4

in,32370.42

ia,35186.46

ks,36346.8

ky,31558.9

la,34579.84

me,33682.56

md,31313.94

ma,34341.36

mi,35989.24

mn,35061.44

ms,34321.5

mo,32680.6

mt,41254.0

ne,36946.84

nv,32057.44

nh,32782.16

nj,34166.96

nm,33417.9

ny,32787.08

nc,33925.92

nd,42555.34

oh,30842.08

ok,33150.4

or,34925.34

pa,31275.52

ri,33050.66

sc,34001.28

sd,42141.22

tn,31581.26

tx,34870.86

ut,36216.22

vt,34234.8

va,31836.96

wa,33294.84

wv,33239.94

wi,33186.34

wy,42084.58
